date,name,amount,category,type,location_confidence
2025-09-13,Uber,79.7,Shopping,credit,0.76
2025-09-17,Stripe,72.56,Groceries,credit,0.89
2025-09-09,Amazon,63.4,Groceries,debit,0.76
2025-09-05,Stripe,26.71,Transportation,credit,0.75
2025-08-16,Amazon,58.2,Entertainment,debit,0.83
2025-09-25,Whole Foods,78.56,Shopping,credit,0.97
2025-09-19,Amazon,32.92,Business,credit,0.89
2025-09-06,Stripe,20.77,Business,debit,0.89
2025-08-30,Amazon,34.92,Business,debit,0.79
2025-08-08,Amazon,34.28,Business,debit,0.86
2025-09-15,Netflix,68.46,Shopping,credit,0.95
2025-08-15,Whole Foods,37.25,Groceries,debit,0.89
2025-08-02,Stripe,54.82,Business,credit,0.79
2025-09-18,Stripe,28.59,Business,debit,0.83
2025-09-13,Stripe,62.79,Transportation,debit,0.86
2025-09-16,Amazon,83.82,Shopping,credit,0.98
2025-09-29,Whole Foods,61.81,Transportation,debit,0.81
2025-09-25,Whole Foods,53.25,Shopping,credit,0.94
2025-08-07,Amazon,51.29,Business,debit,0.8
2025-09-22,Whole Foods,50.69,Shopping,debit,0.7
2025-09-22,Netflix,33.59,Transportation,debit,0.73
2025-09-20,Amazon,31.68,Business,debit,0.87
2025-09-18,Netflix,38.17,Transportation,credit,0.77
2025-09-26,Uber,69.74,Entertainment,credit,0.75
2025-08-25,Whole Foods,14.59,Entertainment,debit,0.75
2025-09-17,Amazon,59.85,Groceries,debit,0.96
2025-08-14,Stripe,71.63,Business,credit,0.8
2025-09-05,Netflix,49.96,Entertainment,credit,0.86
2025-08-25,Whole Foods,57.75,Shopping,credit,0.73
2025-08-13,Netflix,68.07,Groceries,credit,0.76
2025-09-25,Stripe,40.71,Shopping,debit,0.98
2025-09-22,Netflix,58.03,Transportation,debit,0.92
2025-09-25,Amazon,45.12,Groceries,credit,0.96
2025-08-30,Stripe,44.43,Business,debit,0.91
2025-09-19,Netflix,55.22,Entertainment,credit,0.74
2025-08-12,Stripe,49.78,Groceries,credit,0.78
2025-09-05,Whole Foods,16.22,Entertainment,debit,0.95
2025-09-02,Stripe,56.3,Entertainment,debit,0.76
